12,16,21,3,15,3,3,8,2,46,131,15,50,21,29,15,76,25,302,28,4,21,2,7,17,5,46,5,5,4,2,0,5,13,9,0,9,0,7,1,3
25,77,57,30,73,50,37,55,34,358,403,31,133,112,111,119,268,11,408,80,43,75,39,39,99,72,228,32,36,11,31,37,18,39,138,17,202,78,170,22,124
2,15,10,3,9,5,2,6,2,18,64,9,31,9,12,21,97,23,332,11,0,12,3,5,12,9,17,1,4,0,2,2,3,13,21,1,20,4,10,0,12
3,5,4,3,0,3,7,8,1,17,9,2,5,3,4,10,10,1,10,67,7,22,16,12,25,8,23,1,5,1,4,14,7,7,9,0,8,0,4,3,10
0,2,0,0,1,0,1,1,0,3,2,1,1,0,0,3,1,0,2,7,18,2,0,1,1,3,1,0,0,0,0,0,4,2,6,1,4,1,3,2,2
3,1,2,2,3,0,3,5,1,29,30,2,2,0,4,10,6,3,22,105,9,24,7,23,29,4,39,0,3,2,1,9,4,8,7,0,10,2,4,2,22
1,1,0,1,1,1,3,7,0,18,19,0,9,1,1,3,9,0,8,71,8,19,20,0,17,5,60,6,8,6,1,19,12,58,5,1,2,0,2,0,2
3,4,6,1,4,2,7,3,4,31,26,2,6,2,1,8,10,0,6,47,14,27,5,7,35,7,19,1,7,0,3,7,4,9,9,0,2,0,10,0,1
4,15,11,10,3,2,10,11,1,57,41,7,5,2,3,33,14,11,21,63,7,40,29,27,34,14,41,6,4,2,2,17,7,15,13,1,15,4,25,0,13
2,2,3,0,2,0,5,1,3,14,7,4,1,2,2,4,5,0,5,14,2,8,1,2,13,28,7,2,1,0,2,2,2,0,5,0,12,2,9,1,3
6,17,14,46,0,5,2,5,12,32,24,8,21,61,2,4,14,5,14,9,1,17,32,0,8,17,622,33,73,33,20,69,16,28,14,2,21,16,46,7,27
2,5,1,1,0,1,0,1,1,9,13,5,0,4,0,0,1,0,5,0,2,2,4,4,5,2,84,18,5,8,3,13,1,4,8,0,14,3,10,1,6
3,6,9,10,2,1,3,1,1,12,14,3,3,3,0,4,5,2,10,6,1,3,7,1,2,1,122,1,10,7,8,26,9,6,4,0,3,0,3,0,4
2,3,7,16,3,2,2,1,1,34,21,1,8,3,0,6,5,11,6,18,0,14,30,3,4,10,65,9,13,7,7,28,7,13,4,1,7,2,19,0,6
2,1,3,0,1,0,0,5,0,5,20,0,7,7,1,0,2,0,3,14,4,6,1,2,3,1,47,2,13,5,5,15,5,13,2,0,1,0,4,0,2
5,2,5,7,0,3,3,5,3,43,37,9,11,6,2,5,2,2,12,28,3,8,11,5,8,5,69,5,18,12,9,27,27,130,9,1,16,2,10,2,8
0,3,0,2,0,0,1,1,0,6,1,3,1,5,0,0,0,0,6,1,1,0,2,0,0,0,6,1,1,1,0,9,11,18,8,0,2,1,3,0,4
0,3,2,1,0,0,0,0,2,0,3,0,1,6,0,4,2,1,3,2,0,3,4,0,2,3,15,1,3,0,4,17,8,51,8,2,6,1,3,0,2
2,16,3,0,0,1,1,3,2,15,13,5,1,3,2,1,7,7,19,12,9,4,0,5,5,12,16,3,0,1,1,6,14,13,45,6,26,6,17,4,15
0,0,2,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,1,0,0,1,3,0,0,4,1,4,2,1,0,6
1,19,5,1,0,2,3,4,5,52,16,12,1,6,2,1,9,16,42,4,5,2,2,0,5,7,23,7,1,1,0,3,17,15,41,11,80,8,34,3,17
1,2,0,0,0,0,0,0,2,11,9,3,1,0,0,1,1,1,7,1,1,2,0,2,2,3,14,2,0,0,0,1,2,5,19,3,22,3,20,0,7
2,14,3,0,0,0,1,2,1,10,10,4,1,3,2,0,7,5,18,9,7,3,0,3,4,9,9,1,0,1,1,5,10,13,27,5,20,5,16,3,15
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
0,15,6,1,0,4,3,4,2,49,14,7,0,1,2,1,8,14,32,5,4,3,2,0,4,5,15,6,1,1,1,5,15,10,29,10,63,8,15,3,16
4,11,8,4,10,7,5,8,5,49,56,4,18,15,15,16,37,1,56,11,6,10,5,5,14,10,32,4,5,2,4,5,2,5,19,2,28,11,24,3,17
